,T0,T1,T2,u0,u1,u2,Ta0,Ta1,Ta2,y
81,-0.036064705,-0.033472541,-0.023718008,0.191600495,0.188228813,0.181221002,0.035833333,0.041666667,0.0475,-0.006379684
82,-0.037340642,-0.036064705,-0.033472541,0.194348386,0.191600495,0.188228813,0.03,0.035833333,0.041666667,0.113927179
83,-0.014555206,-0.037340642,-0.036064705,0.183131362,0.194348386,0.191600495,0.03,0.03,0.035833333,0.055461063
84,-0.003462994,-0.014555206,-0.037340642,0.177469527,0.183131362,0.194348386,0.03,0.03,0.03,0.002773457
85,-0.002908302,-0.003462994,-0.014555206,0.177338346,0.177469527,0.183131362,0.03,0.03,0.03,-0.010254301
86,-0.004959162,-0.002908302,-0.003462994,0.178696253,0.177338346,0.177469527,0.03,0.03,0.03,0.021909666
87,-0.000577229,-0.004959162,-0.002908302,0.176415634,0.178696253,0.177338346,0.031666667,0.03,0.03,0.014009427
88,0.002224656,-0.000577229,-0.004959162,0.17481327,0.176415634,0.178696253,0.033333333,0.031666667,0.03,-0.034837484
89,-0.004742841,0.002224656,-0.000577229,0.178754051,0.17481327,0.176415634,0.035,0.033333333,0.031666667,0.090327624
90,0.013322684,-0.004742841,0.002224656,0.168479319,0.178754051,0.17481327,0.036666667,0.035,0.033333333,-0.042291327
91,0.004864419,0.013322684,-0.004742841,0.172673158,0.168479319,0.178754051,0.036666667,0.036666667,0.035,0.000347215
92,0.004933862,0.004864419,0.013322684,0.172362404,0.172673158,0.168479319,0.036666667,0.036666667,0.036666667,0.025724357
93,0.010078733,0.004933862,0.004864419,0.169087126,0.172362404,0.172673158,0.036666667,0.036666667,0.036666667,-0.037203122
94,0.002638109,0.010078733,0.004933862,0.17286756,0.169087126,0.172362404,0.036666667,0.036666667,0.036666667,-0.025705464
95,-0.002502984,0.002638109,0.010078733,0.175719969,0.17286756,0.169087126,0.0375,0.036666667,0.036666667,-0.003172582
96,-0.0031375,-0.002502984,0.002638109,0.176229159,0.175719969,0.17286756,0.038333333,0.0375,0.036666667,-0.016280117
97,-0.006393524,-0.0031375,-0.002502984,0.178302811,0.176229159,0.175719969,0.039166667,0.038333333,0.0375,-0.021518076
98,-0.010697139,-0.006393524,-0.0031375,0.181168449,0.178302811,0.176229159,0.04,0.039166667,0.038333333,0.064451027
99,0.002193066,-0.010697139,-0.006393524,0.174243448,0.181168449,0.178302811,0.048333333,0.04,0.039166667,-0.034638397
100,-0.004734613,0.002193066,-0.010697139,0.178162758,0.174243448,0.181168449,0.056666667,0.048333333,0.04,-0.028725791
101,-0.010479771,-0.004734613,0.002193066,0.181777134,0.178162758,0.174243448,0.065,0.056666667,0.048333333,0.068394707
102,0.00319917,-0.010479771,-0.004734613,0.174379961,0.181777134,0.178162758,0.073333333,0.065,0.056666667,0.063159303
103,0.015831031,0.00319917,-0.010479771,0.166833644,0.174379961,0.181777134,0.074166667,0.073333333,0.065,-0.033858917
104,0.009059248,0.015831031,0.00319917,0.169904349,0.166833644,0.174379961,0.075,0.074166667,0.073333333,0.018765202
105,0.012812288,0.009059248,0.015831031,0.167211784,0.169904349,0.166833644,0.075833333,0.075,0.074166667,-0.034184944
106,0.005975299,0.012812288,0.009059248,0.170488234,0.167211784,0.169904349,0.076666667,0.075833333,0.075,0.055593926
107,0.017094084,0.005975299,0.012812288,0.163670315,0.170488234,0.167211784,0.09,0.076666667,0.075833333,-0.035583533
108,0.009977378,0.017094084,0.005975299,0.166872055,0.163670315,0.170488234,0.103333333,0.09,0.076666667,0.032033949
109,0.016384167,0.009977378,0.017094084,0.162580463,0.166872055,0.163670315,0.116666667,0.103333333,0.09,-0.078864185
110,0.000611331,0.016384167,0.009977378,0.170871053,0.162580463,0.166872055,0.13,0.116666667,0.103333333,-0.051886737
111,-0.009766017,0.000611331,0.016384167,0.176890542,0.170871053,0.162580463,0.1375,0.13,0.116666667,0.008835644
112,-0.007998888,-0.009766017,0.000611331,0.176402274,0.176890542,0.170871053,0.145,0.1375,0.13,-0.014020554
113,-0.010802999,-0.007998888,-0.009766017,0.178482388,0.176402274,0.176890542,0.1525,0.145,0.1375,-0.098527083
114,-0.030508415,-0.010802999,-0.007998888,0.190577381,0.178482388,0.176402274,0.16,0.1525,0.145,-0.05901874
115,-0.042312163,-0.030508415,-0.010802999,0.199157812,0.190577381,0.178482388,0.161666667,0.16,0.1525,0.059117315
116,-0.0304887,-0.042312163,-0.030508415,0.194611468,0.199157812,0.190577381,0.163333333,0.161666667,0.16,0.064606348
117,-0.017567431,-0.0304887,-0.042312163,0.188767877,0.194611468,0.199157812,0.165,0.163333333,0.161666667,0.02164548
118,-0.013238335,-0.017567431,-0.0304887,0.18721854,0.188767877,0.194611468,0.166666667,0.165,0.163333333,0.000227145
119,-0.013192906,-0.013238335,-0.017567431,0.187927503,0.18721854,0.188767877,0.171666667,0.166666667,0.165,-0.035651577
120,-0.020323221,-0.013192906,-0.013238335,0.192819792,0.187927503,0.18721854,0.176666667,0.171666667,0.166666667,-0.018209768
121,-0.023965175,-0.020323221,-0.013192906,0.196073333,0.192819792,0.187927503,0.181666667,0.176666667,0.171666667,0.051992351
122,-0.013566705,-0.023965175,-0.020323221,0.191338958,0.196073333,0.192819792,0.186666667,0.181666667,0.176666667,0.049418823
123,-0.00368294,-0.013566705,-0.023965175,0.186327134,0.191338958,0.196073333,0.188333333,0.186666667,0.181666667,0.102513374
124,0.016819735,-0.00368294,-0.013566705,0.174571848,0.186327134,0.191338958,0.19,0.188333333,0.186666667,0.052422995
125,0.027304334,0.016819735,-0.00368294,0.167521402,0.174571848,0.186327134,0.191666667,0.19,0.188333333,0.023093042
126,0.031922942,0.027304334,0.016819735,0.163310307,0.167521402,0.174571848,0.193333333,0.191666667,0.19,-0.111334485
127,0.009656045,0.031922942,0.027304334,0.174525833,0.163310307,0.167521402,0.2025,0.193333333,0.191666667,-0.009650762
128,0.007725893,0.009656045,0.031922942,0.175115308,0.174525833,0.163310307,0.211666667,0.2025,0.193333333,-0.125002447
129,-0.017274596,0.007725893,0.009656045,0.189269711,0.175115308,0.174525833,0.220833333,0.211666667,0.2025,0.014844373
130,-0.014305722,-0.017274596,0.007725893,0.188497567,0.189269711,0.175115308,0.23,0.220833333,0.211666667,0.034432077
131,-0.007419306,-0.014305722,-0.017274596,0.185275254,0.188497567,0.189269711,0.239166667,0.23,0.220833333,-0.027354099
132,-0.012890126,-0.007419306,-0.014305722,0.188878749,0.185275254,0.188497567,0.248333333,0.239166667,0.23,0.042261052
133,-0.004437916,-0.012890126,-0.007419306,0.184664411,0.188878749,0.185275254,0.2575,0.248333333,0.239166667,-0.006889461
134,-0.005815808,-0.004437916,-0.012890126,0.185714732,0.184664411,0.188878749,0.266666667,0.2575,0.248333333,-0.081208256
135,-0.022057459,-0.005815808,-0.004437916,0.195512129,0.185714732,0.184664411,0.270833333,0.266666667,0.2575,-0.085407466
136,-0.039138952,-0.022057459,-0.005815808,0.206701748,0.195512129,0.185714732,0.275,0.270833333,0.266666667,0.01957091
137,-0.03522477,-0.039138952,-0.022057459,0.206592862,0.206701748,0.195512129,0.279166667,0.275,0.270833333,0.093253193
138,-0.016574132,-0.03522477,-0.039138952,0.197670254,0.206592862,0.206701748,0.283333333,0.279166667,0.275,0.02973564
139,-0.010627004,-0.016574132,-0.03522477,0.195121881,0.197670254,0.206592862,0.2975,0.283333333,0.279166667,-0.044408191
140,-0.019508642,-0.010627004,-0.016574132,0.200893226,0.195121881,0.197670254,0.311666667,0.2975,0.283333333,0.059680914
141,-0.007572459,-0.019508642,-0.010627004,0.195014266,0.200893226,0.195121881,0.325833333,0.311666667,0.2975,0.037914389
142,1.04E-05,-0.007572459,-0.019508642,0.191011613,0.195014266,0.200893226,0.34,0.325833333,0.311666667,0.0072074
143,0.001451899,1.04E-05,-0.007572459,0.190170171,0.191011613,0.195014266,0.351666667,0.34,0.325833333,-0.018137524
144,-0.002175606,0.001451899,1.04E-05,0.192205554,0.190170171,0.191011613,0.363333333,0.351666667,0.34,-0.016852045
145,-0.005546015,-0.002175606,0.001451899,0.194292493,0.192205554,0.190170171,0.375,0.363333333,0.351666667,0.032911972
146,0.001036379,-0.005546015,-0.002175606,0.190760875,0.194292493,0.192205554,0.386666667,0.375,0.363333333,0.002534696
147,0.001543319,0.001036379,-0.005546015,0.190407584,0.190760875,0.194292493,0.389166667,0.386666667,0.375,0.004628861
148,0.002469091,0.001543319,0.001036379,0.18978181,0.190407584,0.190760875,0.391666667,0.389166667,0.386666667,0.018886444
149,0.00624638,0.002469091,0.001543319,0.18744122,0.18978181,0.190407584,0.394166667,0.391666667,0.389166667,0.111742137
150,0.028594807,0.00624638,0.002469091,0.174057616,0.18744122,0.18978181,0.396666667,0.394166667,0.391666667,0.051298273
151,0.038854462,0.028594807,0.00624638,0.166484217,0.174057616,0.18744122,0.400833333,0.396666667,0.394166667,-0.007612592
152,0.037331943,0.038854462,0.028594807,0.165213772,0.166484217,0.174057616,0.405,0.400833333,0.396666667,-0.08063349
153,0.021205245,0.037331943,0.038854462,0.172547015,0.165213772,0.166484217,0.409166667,0.405,0.400833333,-0.025321694
